,name,categories,address,city,postal_code,province,country,latitude,longitude,websites
6535,Arby's,Fast Food Restaurant,1165 Evans Blvd,Coos Bay,97420,OR,US,43.356107,-124.210666,http://www.arbys.com
6536,Arby's,Fast Food Restaurants,535 Se 3rd St,Bend,97701,OR,US,44.044432,-121.302924,"http://www.arbys.com,https://locations.arbys.com/us/or/bend/535-se-3rd-st.html,http://locations.arbys.com/us/or/bend/535-se-3rd-st.html,http://arbys.com"
6537,Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",2820 Sw Cedar Hills Blvd,Beaverton,97005,OR,US,45.499558,-122.806602,"http://www.arbys.com,https://locations.arbys.com/us/or/beaverton/2820-sw-cedar-hills-blvd.html,http://locations.arbys.com/us/or/beaverton/2820-sw-cedar-hills-blvd.html"
6538,Arby's,Fast Food Restaurants,1229 Schadt Ave,Whitehall,18052,PA,US,40.642976,-75.488136,"http://www.arbys.com,http://locations.arbys.com/us/pa/whitehall/1229-schadt-ave.html,http://arbys.com"
6539,Subway,Fast Food Restaurants,114 E High St,Jefferson City,65101,MO,US,38.576845,-92.172252,http://www.subway.com
6540,Subway,Fast Food Restaurants,1035 S Neosho Blvd,Neosho,64850,MO,US,36.85563,-94.384073,http://subway.com
6541,Subway,Fast Food Restaurants,205 W Us Highway 54,El Dorado Springs,64744,MO,US,37.863651,-94.025335,"http://www.subway.com/en-IN,http://subway.com"
6542,Subway,Fast Food Restaurants,6101 Lake Ave,Saint Joseph,64504,MO,US,39.713261,-94.871492,"http://www.subway.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJuwYhBiHAue47WNd5vKqkCb8ag6xKIqarztGRyUXaUuG1hBt5ueEy5baEXXwJ0hFoBbQ5gX0BwM7-dmm_cgVf_YO5FLLqGke_g-EEB8mbAff3kCsPl5zeeeUMhVBqFTbaZj1SJK7UIOoIoiTbq7lZ9fxO5rp-JtOMWDuCcKEHwNM4ignnCo7MuyqxuzdONx-pm0077Gkz1Hw1Mn-QsO--pFhX4sxyFivdZvcqudajumdAEZ_JmdYqJEGb9RB-T6WxaSUTov1c3jtjURMYljeD48gprLOktcL8R3N8s-6Q1hfxvU38RdrTbqV7r4JOa2yDRMiVmgHhcanHdWQ8vGayWg&placement=listing_profile&cs_user=unknown&cs_session=aac2a81a006b74c211b427c58eb912d067d9bc2b"
6543,Subway,Fast Food Restaurants,1000 Graves St,Chillicothe,64601,MO,US,39.777323,-93.554059,"http://www.subway.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJlxyV50ddVLhrB4JsO6TQgZMdc8mS0eSkMh-cjkR0FYMF-Lph3jm7pwikv5fsDPVjkjZH5eZUHdGULP9b9sNksGfwkjfDR3Ll9eKzcElQsEZKsesqqx0rttxoF2aH1tacchbGDOSSotBde3qzcaPP45YPWVI_cHD4Q6Yk2i8sNZ8UEAtTl46dIxkc8_0SwWqbabS_V1WHhCvIgsoipJxGCCXFJbu0e8t3tdyjTRIMKLY0On9Tkaeg24X0-Yfj-6t5CLlBebKzgDe36iEboD9EUiNfCeRFzMvLuMlooFYeXhPmtzrdncf9kUzSbCU8KVQTQzojm9yWmA0QvR1Qx7Zb2RBXuD1mwkBC&placement=listing_profile&cs_user=unknown&cs_session=dd928b6dc9117210840cb59e3d6b4e54567f2deb"
6544,Burger King,Fast Food Restaurant,560 N Main St,Doylestown,18901,PA,US,40.324335,-75.130316,http://www.bk.com
